transaction_type_code	transaction_type	scope	instrument	region
TT0119	OWN PURCHASE FOREIGN PAPER	INTERNAL	OTHER	DOMESTIC
TT0120	OWN SALE FOREIGN PAPER	INTERNAL	OTHER	DOMESTIC
TT0121	PAYMENT IMPORT COMMERCIAL PAPER	INTERNAL	OTHER	DOMESTIC
TT0122	PAYMENT SUBSCRIPTION	INTERNAL	OTHER	DOMESTIC
TT0123	PAYMENT TRAVEL ASSISTANCE	INTERNAL	OTHER	DOMESTIC
TT0124	PERIODIC CONTRIBUTION	INTERNAL	OTHER	DOMESTIC
TT0125	POSTAGE COSTS	INTERNAL	OTHER	DOMESTIC
TT0126	POSTAGE COSTS AND COSTS CLOSING ACCOUNT	INTERNAL	OTHER	DOMESTIC
TT0127	POSTAGE COSTS/ACCOUNT INSURRANCE	INTERNAL	OTHER	DOMESTIC
TT0128	PREMIUM ACCOUNT INSURANCE	INTERNAL	OTHER	DOMESTIC
TT0129	PURCHASE FOREIGN SECURITIES	INTERNAL	OTHER	DOMESTIC
TT0130	PURCHASE SECURITIES	INTERNAL	OTHER	DOMESTIC
TT0131	PURCHASE SECURITIES STOCK EXCHANGE	INTERNAL	OTHER	DOMESTIC
TT0132	REDEMPTION LOAN	INTERNAL	OTHER	DOMESTIC
TT0133	REDEMPTION LOAN ON REPAYMENTS	INTERNAL	OTHER	DOMESTIC
TT0134	REDEMPTION OF FIXED ADVANCE	INTERNAL	OTHER	DOMESTIC
TT0135	REFUND CARD BALANCE NO.	INTERNAL	OTHER	DOMESTIC
TT0136	REINVESTMENT FEE TIME DEPOSIT	INTERNAL	OTHER	DOMESTIC
TT0137	REMITTANCE PAY DOCUMENTS	INTERNAL	OTHER	DOMESTIC
TT0138	REPAYMENT FOREIGN BILLS	INTERNAL	OTHER	DOMESTIC
TT0139	SAFE RENT	INTERNAL	OTHER	DOMESTIC
TT0140	SALE FOREIGN SECURITIES	INTERNAL	OTHER	DOMESTIC
TT0141	SALE SECURITIES STOCK EXCHANGE	INTERNAL	OTHER	DOMESTIC
TT0142	SECURE FOR LOAN	INTERNAL	OTHER	DOMESTIC
TT0143	SETTLEMENT MAINTENANCE FOREIGN SECURITIES	INTERNAL	OTHER	DOMESTIC
TT0144	SETTLEMENT MAINTENANCE SECURITIES	INTERNAL	OTHER	DOMESTIC
TT0145	SETTLEMENT SECURITIES	INTERNAL	OTHER	DOMESTIC
TT0146	SUBSCRIPTION COUPON BONDS	INTERNAL	OTHER	DOMESTIC
TT0147	SUBSCRIPTION EMISSION	INTERNAL	OTHER	DOMESTIC
TT0148	SYSTEMATIC SAVINGS COMMISSIONED BY	INTERNAL	OTHER	DOMESTIC
TT0149	SYSTEMATIC SAVINGS IN FAVOUR OF	INTERNAL	OTHER	DOMESTIC
TT0150	TARIFF NATIONAL TRANSFERS	INTERNAL	OTHER	DOMESTIC
TT0151	TRANSFER	INTERNAL	OTHER	DOMESTIC
TT0152	UNDO CARD PAYMENT	INTERNAL	OTHER	DOMESTIC
TT0153	UNPAID FOREIGN CHEQUE	INTERNAL	OTHER	DOMESTIC
TT0154	UNSPECIFIED	INTERNAL	OTHER	DOMESTIC
TT0155	WITHDRAWAL TIME DEPOSIT	INTERNAL	OTHER	DOMESTIC
TT0156	WRITING-OFF DEBET POSITION	INTERNAL	OTHER	DOMESTIC
